"","site","zone","year.x","season","seq_run","mean.kd","min.kd","max.kd","mean.sst","min.sst","max.sst","mean.chla","min.chla","max.chla","lat","lon","depth_m","dmg"
"1230","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1231","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1232","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"61","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"62","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"63","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"64","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"65","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"66","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"67","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"68","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"69","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"70","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"701","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"703","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"704","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"705","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"702","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"707","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"708","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"709","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"706","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"710","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"711","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"725","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"1140","UK1","Inshore","2018","Fall","run2",0.0994736842105263,0.0456,0.2114,27.1399287671233,21.955,31.46,0.991490665789474,0.25890708,2.8949552,24.903837,-80.609678,3.05,1
