"","site","zone","year.x","season","seq_run","mean.kd","min.kd","max.kd","mean.sst","min.sst","max.sst","mean.chla","min.chla","max.chla","lat","lon","depth_m","dmg"
"53","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"54","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"55","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"56","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"57","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"58","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"59","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"60","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"141","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"143","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"144","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"145","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"147","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"148","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"149","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"150","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"846","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"847","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"848","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"851","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"852","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"853","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"854","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"855","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"1070","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1072","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1073","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1074","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1075","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
