sample_num,full_site,site,zone,site_zone,sample,spp,year,sequencing,time,season
1025,Fowey Rocks,UK3,O,UK3-O,UK3-O_1025,srad,2016,ITS2,Pre,Spring
1026,Fowey Rocks,UK3,O,UK3-O,UK3-O_1026,srad,2016,ITS2,Pre,Spring
1037,Bache Shoals,UK3,I,UK3-I,UK3-I_1037,ssid,2016,ITS2,Pre,Spring
1039,Bache Shoals,UK3,I,UK3-I,UK3-I_1039,ssid,2016,ITS2,Pre,Spring
1040,Bache Shoals,UK3,I,UK3-I,UK3-I_1040,ssid,2016,ITS2,Pre,Spring
1041,Bache Shoals,UK3,I,UK3-I,UK3-I_1041,ssid,2016,ITS2,Pre,Spring
1042,Bache Shoals,UK3,I,UK3-I,UK3-I_1042,ssid,2016,ITS2,Pre,Spring
1045,Bache Shoals,UK3,I,UK3-I,UK3-I_1045,ssid,2016,ITS2,Pre,Spring
1046,Bache Shoals,UK3,I,UK3-I,UK3-I_1046,ssid,2016,ITS2,Pre,Spring
1048,Bache Shoals,UK3,I,UK3-I,UK3-I_1048,srad,2016,ITS2,Pre,Spring
1049,Bache Shoals,UK3,I,UK3-I,UK3-I_1049,srad,2016,ITS2,Pre,Spring
1050,Bache Shoals,UK3,I,UK3-I,UK3-I_1050,srad,2016,ITS2,Pre,Spring
1051,Bache Shoals,UK3,I,UK3-I,UK3-I_1051,srad,2016,ITS2,Pre,Spring
1052,Bache Shoals,UK3,I,UK3-I,UK3-I_1052,srad,2016,ITS2,Pre,Spring
1053,Bache Shoals,UK3,I,UK3-I,UK3-I_1053,srad,2016,ITS2,Pre,Spring
1054,Bache Shoals,UK3,I,UK3-I,UK3-I_1054,srad,2016,ITS2,Pre,Spring
1071,Basin Hill,UK2,I,UK2-I,UK2-I_1071,srad,2018,ITS2,Post,Fall
1072,Basin Hill,UK2,I,UK2-I,UK2-I_1072,srad,2018,ITS2,Post,Fall
1074,Basin Hill,UK2,I,UK2-I,UK2-I_1074,srad,2018,ITS2,Post,Fall
1075,Basin Hill,UK2,I,UK2-I,UK2-I_1075,srad,2018,ITS2,Post,Fall
1076,Basin Hill,UK2,I,UK2-I,UK2-I_1076,srad,2018,ITS2,Post,Fall
1077,Basin Hill,UK2,I,UK2-I,UK2-I_1077,srad,2018,ITS2,Post,Fall
1078,Basin Hill,UK2,I,UK2-I,UK2-I_1078,srad,2018,ITS2,Post,Fall
1080,Basin Hill,UK2,I,UK2-I,UK2-I_1080,ssid,2018,ITS2,Post,Fall
1081,Basin Hill,UK2,I,UK2-I,UK2-I_1081,ssid,2018,ITS2,Post,Fall
1082,Basin Hill,UK2,I,UK2-I,UK2-I_1082,ssid,2018,ITS2,Post,Fall
1083,Basin Hill,UK2,I,UK2-I,UK2-I_1083,ssid,2018,ITS2,Post,Fall
1084,Basin Hill,UK2,I,UK2-I,UK2-I_1084,ssid,2018,ITS2,Post,Fall
1085,Basin Hill,UK2,I,UK2-I,UK2-I_1085,ssid,2018,ITS2,Post,Fall
1086,Basin Hill,UK2,I,UK2-I,UK2-I_1086,ssid,2018,ITS2,Post,Fall
1087,Basin Hill,UK2,I,UK2-I,UK2-I_1087,ssid,2018,ITS2,Post,Fall
1088,Basin Hill,UK2,I,UK2-I,UK2-I_1088,ssid,2018,ITS2,Post,Fall
1089,Basin Hill,UK2,I,UK2-I,UK2-I_1089,ssid,2018,ITS2,Post,Fall
1100,Carysfort,UK2,O,UK2-O,UK2-O_1100,srad,2018,ITS2,Post,Fall
1101,Carysfort,UK2,O,UK2-O,UK2-O_1101,srad,2018,ITS2,Post,Fall
1102,Carysfort,UK2,O,UK2-O,UK2-O_1102,srad,2018,ITS2,Post,Fall
1103,Carysfort,UK2,O,UK2-O,UK2-O_1103,srad,2018,ITS2,Post,Fall
1105,Carysfort,UK2,O,UK2-O,UK2-O_1105,srad,2018,ITS2,Post,Fall
1106,Carysfort,UK2,O,UK2-O,UK2-O_1106,srad,2018,ITS2,Post,Fall
1107,Carysfort,UK2,O,UK2-O,UK2-O_1107,srad,2018,ITS2,Post,Fall
1108,Carysfort,UK2,O,UK2-O,UK2-O_1108,srad,2018,ITS2,Post,Fall
1109,Carysfort,UK2,O,UK2-O,UK2-O_1109,srad,2018,ITS2,Post,Fall
1112,Carysfort,UK2,O,UK2-O,UK2-O_1112,ssid,2018,ITS2,Post,Fall
1113,Carysfort,UK2,O,UK2-O,UK2-O_1113,ssid,2018,ITS2,Post,Fall
1115,Carysfort,UK2,O,UK2-O,UK2-O_1115,ssid,2018,ITS2,Post,Fall
1116,Carysfort,UK2,O,UK2-O,UK2-O_1116,ssid,2018,ITS2,Post,Fall
1117,Carysfort,UK2,O,UK2-O,UK2-O_1117,ssid,2018,ITS2,Post,Fall
1118,Carysfort,UK2,O,UK2-O,UK2-O_1118,ssid,2018,ITS2,Post,Fall
1119,Carysfort,UK2,O,UK2-O,UK2-O_1119,ssid,2018,ITS2,Post,Fall
1140,Cheeca Rocks,UK1,I,UK1-I,UK1-I_1140,ssid,2018,ITS2,Post,Fall
1141,Cheeca Rocks,UK1,I,UK1-I,UK1-I_1141,ssid,2018,ITS2,Post,Fall
1142,Cheeca Rocks,UK1,I,UK1-I,UK1-I_1142,ssid,2018,ITS2,Post,Fall
1143,Cheeca Rocks,UK1,I,UK1-I,UK1-I_1143,ssid,2018,ITS2,Post,Fall
1144,Cheeca Rocks,UK1,I,UK1-I,UK1-I_1144,ssid,2018,ITS2,Post,Fall
1145,Cheeca Rocks,UK1,I,UK1-I,UK1-I_1145,ssid,2018,ITS2,Post,Fall
1146,Cheeca Rocks,UK1,I,UK1-I,UK1-I_1146,ssid,2018,ITS2,Post,Fall
1147,Cheeca Rocks,UK1,I,UK1-I,UK1-I_1147,ssid,2018,ITS2,Post,Fall
1148,Cheeca Rocks,UK1,I,UK1-I,UK1-I_1148,ssid,2018,ITS2,Post,Fall
1149,Cheeca Rocks,UK1,I,UK1-I,UK1-I_1149,ssid,2018,ITS2,Post,Fall
1170,Rocky Top,UK1,O,UK1-O,UK1-O_1170,ssid,2018,ITS2,Post,Fall
1171,Rocky Top,UK1,O,UK1-O,UK1-O_1171,ssid,2018,ITS2,Post,Fall
