"","sample_num","full_site","site","zone","site_zone","sample","spp","year","time","season","seq_run","lib_size","is.neg","depth"
"2","2","E Sambo","LK1","Offshore","LK1-O","LK1-O_2","ssid","2015","Pre","Spring","run1",70480,FALSE,70003
"30","30","E Sambo","LK1","Offshore","LK1-O","LK1-O_30","srad","2015","Pre","Spring","run1",90325,FALSE,89010
"3","3","E Sambo","LK1","Offshore","LK1-O","LK1-O_3","ssid","2015","Pre","Spring","run1",34089,FALSE,33654
"4","4","E Sambo","LK1","Offshore","LK1-O","LK1-O_4","ssid","2015","Pre","Spring","run1",41597,FALSE,40963
"5","5","E Sambo","LK1","Offshore","LK1-O","LK1-O_5","ssid","2015","Pre","Spring","run1",169421,FALSE,167315
"6","6","E Sambo","LK1","Offshore","LK1-O","LK1-O_6","ssid","2015","Pre","Spring","run1",45741,FALSE,44951
"7","7","E Sambo","LK1","Offshore","LK1-O","LK1-O_7","ssid","2015","Pre","Spring","run1",87762,FALSE,86408
"8","8","E Sambo","LK1","Offshore","LK1-O","LK1-O_8","ssid","2015","Pre","Spring","run1",78822,FALSE,77727
"916","916","E Sambo","LK1","Offshore","LK1-O","LK1-O_916","ssid","2017","Irma","Fall","run1",21867,FALSE,20820
"917","917","E Sambo","LK1","Offshore","LK1-O","LK1-O_917","ssid","2017","Irma","Fall","run1",33792,FALSE,33367
"918","918","E Sambo","LK1","Offshore","LK1-O","LK1-O_918","ssid","2017","Irma","Fall","run1",32580,FALSE,32173
"919","919","E Sambo","LK1","Offshore","LK1-O","LK1-O_919","ssid","2017","Irma","Fall","run1",120754,FALSE,120529
"921","921","E Sambo","LK1","Offshore","LK1-O","LK1-O_921","ssid","2017","Irma","Fall","run1",20881,FALSE,20762
"922","922","E Sambo","LK1","Offshore","LK1-O","LK1-O_922","ssid","2017","Irma","Fall","run1",30172,FALSE,29883
"923","923","E Sambo","LK1","Offshore","LK1-O","LK1-O_923","ssid","2017","Irma","Fall","run1",72210,FALSE,58693
"924","924","E Sambo","LK1","Offshore","LK1-O","LK1-O_924","ssid","2017","Irma","Fall","run1",47619,FALSE,44316
"925","925","E Sambo","LK1","Offshore","LK1-O","LK1-O_925","ssid","2017","Irma","Fall","run1",25177,FALSE,24593
"926","926","E Sambo","LK1","Offshore","LK1-O","LK1-O_926","srad","2017","Irma","Fall","run1",19929,FALSE,19433
"927","927","E Sambo","LK1","Offshore","LK1-O","LK1-O_927","srad","2017","Irma","Fall","run1",77508,FALSE,76726
"928","928","E Sambo","LK1","Offshore","LK1-O","LK1-O_928","srad","2017","Irma","Fall","run1",41533,FALSE,39718
"929","929","E Sambo","LK1","Offshore","LK1-O","LK1-O_929","srad","2017","Irma","Fall","run1",45938,FALSE,45014
"930","930","E Sambo","LK1","Offshore","LK1-O","LK1-O_930","srad","2017","Irma","Fall","run1",19263,FALSE,18684
"931","931","E Sambo","LK1","Offshore","LK1-O","LK1-O_931","srad","2017","Irma","Fall","run1",71057,FALSE,68578
"932","932","E Sambo","LK1","Offshore","LK1-O","LK1-O_932","srad","2017","Irma","Fall","run1",40744,FALSE,40604
"933","933","E Sambo","LK1","Offshore","LK1-O","LK1-O_933","srad","2017","Irma","Fall","run1",61475,FALSE,61173
"934","934","E Sambo","LK1","Offshore","LK1-O","LK1-O_934","srad","2017","Irma","Fall","run1",93083,FALSE,91795
"935","935","E Sambo","LK1","Offshore","LK1-O","LK1-O_935","srad","2017","Irma","Fall","run1",25110,FALSE,24861
"943","943","E Sambo","LK1","Offshore","LK1-O","LK1-O_943","ssid","2017","Irma","Fall","run1",41263,FALSE,41197
"1140","1140","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1140","ssid","2018","Post","Fall","run2",44832,FALSE,44685
"1141","1141","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1141","ssid","2018","Post","Fall","run2",21473,FALSE,21340
"1142","1142","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1142","ssid","2018","Post","Fall","run2",13550,FALSE,12873
"1143","1143","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1143","ssid","2018","Post","Fall","run2",4737,FALSE,4513
"1144","1144","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1144","ssid","2018","Post","Fall","run2",10558,FALSE,10114
