"","sample_num","Observed","Shannon","InvSimpson","full_site","site","zone","site_zone","sample","spp","year","time","season","seq_run","lib_size","is.neg","even"
"75","1221",192,4.43167148222505,40.3871710920199,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1221","srad","2018","Post","Fall","run2",9639,FALSE,0.842924466620269
"76","1222",73,2.87754497474134,5.23184529932113,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1222","srad","2018","Post","Fall","run2",7211,FALSE,0.670684576841293
"77","1223",103,1.07200560613099,1.3948902934122,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1223","srad","2018","Post","Fall","run2",30667,FALSE,0.23129844460236
"78","1225",124,2.77528474071475,4.64292577269055,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1225","srad","2018","Post","Fall","run2",16808,FALSE,0.575751582753526
"79","1226",75,1.00380668344954,1.38517961241755,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1226","srad","2018","Post","Fall","run2",20001,FALSE,0.232497845287027
"80","1227",144,3.28723358089298,11.0439761787371,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1227","srad","2018","Post","Fall","run2",13810,FALSE,0.661440054734738
"81","1228",41,2.39689092471122,5.04617509636005,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1228","srad","2018","Post","Fall","run2",6403,FALSE,0.645440799763013
"82","123",141,3.65893928065627,17.0823923253722,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_123","ssid","2015","Pre","Spring","run1",17869,FALSE,0.739364883669203
"83","1230",204,2.41153121109896,2.5041030939776,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1230","ssid","2018","Post","Fall","run2",27260,FALSE,0.45345558465968
"84","1231",36,0.378675552019214,1.11770097267695,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1231","ssid","2018","Post","Fall","run2",26448,FALSE,0.105671424798542
"85","1232",107,1.2839266430049,1.55954642594658,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1232","ssid","2018","Post","Fall","run2",41812,FALSE,0.27476432124712
"86","1233",485,5.57512671088351,157.797410087368,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1233","ssid","2018","Post","Fall","run2",26126,FALSE,0.901518836173809
"87","1234",280,5.18396445522842,119.311194743595,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1234","ssid","2018","Post","Fall","run2",11593,FALSE,0.919992549910423
"88","1235",103,2.52417475628544,3.99949055403114,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1235","ssid","2018","Post","Fall","run2",8549,FALSE,0.544621867361789
"89","1236",197,4.68084761800552,56.2849266231808,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1236","ssid","2018","Post","Fall","run2",5847,FALSE,0.885986582827394
"90","1237",151,4.06965151246455,22.4167951925182,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1237","ssid","2018","Post","Fall","run2",8479,FALSE,0.811127073798629
"91","124",100,2.99356857680819,7.77669578568601,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_124","ssid","2015","Pre","Spring","run1",25378,FALSE,0.650045157053383
"92","125",86,1.82169200765538,2.19469840278922,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_125","ssid","2015","Pre","Spring","run1",62683,FALSE,0.408969459832551
"93","126",67,2.64876187974205,5.98120216171097,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_126","ssid","2015","Pre","Spring","run1",34990,FALSE,0.629953749181722
"94","127",59,2.34099840863299,4.49698116118295,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_127","ssid","2015","Pre","Spring","run1",23844,FALSE,0.57412064042032
"95","128",123,3.58698134369886,15.1844883702366,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_128","ssid","2015","Pre","Spring","run1",53368,FALSE,0.74539566209559
"96","129",151,3.49331354114731,8.27515323832637,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_129","ssid","2015","Pre","Spring","run1",20199,FALSE,0.696256468597721
"97","130",24,0.867848832217471,2.03302304155319,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_130","ssid","2015","Pre","Spring","run1",18538,FALSE,0.273075560876342
"98","141",453,4.12960625453747,22.8434160686599,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_141","srad","2015","Pre","Spring","run1",87278,FALSE,0.675225489561969
"99","143",589,5.36535297870303,59.5563326044356,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_143","srad","2015","Pre","Spring","run1",25955,FALSE,0.841171916742544
"100","144",346,4.4708705050621,31.4406817085038,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_144","srad","2015","Pre","Spring","run1",21022,FALSE,0.764716894690812
"101","145",686,5.50220657531253,121.981411073843,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_145","srad","2015","Pre","Spring","run1",83421,FALSE,0.842491145746434
"102","147",467,5.02160291154572,57.4226462417054,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_147","srad","2015","Pre","Spring","run1",33466,FALSE,0.817008445370897
"103","148",405,5.3282166821124,92.601570330162,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_148","srad","2015","Pre","Spring","run1",14268,FALSE,0.88746117682727
"104","149",939,6.1481523751588,195.888787771538,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_149","srad","2015","Pre","Spring","run1",38013,FALSE,0.898220323664583
"105","150",246,4.40067076366384,39.5698812421334,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_150","srad","2015","Pre","Spring","run1",11933,FALSE,0.799347093801965
"106","2",155,3.4097410678243,13.5001829584933,"E Sambo","LK1","Offshore","LK1-O","LK1-O_2","ssid","2015","Pre","Spring","run1",48135,FALSE,0.676076473582525
"107","21",819,6.070725006176,224.333653273648,"E Sambo","LK1","Offshore","LK1-O","LK1-O_21","srad","2015","Pre","Spring","run1",46598,FALSE,0.904986420905003
"108","22",1391,6.65643079727452,359.246074345095,"E Sambo","LK1","Offshore","LK1-O","LK1-O_22","srad","2015","Pre","Spring","run1",68332,FALSE,0.919678749578477
